username,review_text,rating,at,appversion,sentiment,label_source,review_length
Albert MiniPoi,Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2,1,2024-01-28 09:50:53,4.81.2,negative,rating_rule,115
SOEGI AJF,Sudah hampir 2 tahun gopaylater di bekukan di blokir chat CS sudah gak ke hitung tetep aja akhir cuma 1 cara uninstal,4,2024-01-23 23:47:06,4.81.2,positive,rating_rule,117
Bli Vicky Irianta,Tiba2 saja hanya karena ganti HP gopaylater dr jaman awal transaksi hnya kena biaya 1x tnpa bunga smpai migrasi akhirnya kena bunga 1 hari sebelum ganti HP tagihan sudah di bayar penuh pdahal tgl jatuh tempo msih tanggal 1 mnggu depan,2,2024-01-28 04:42:21,4.81.2,negative,rating_rule,234
Fafa Farikha,Kirim barang  go send Anter anter  go ride Pergi jauhan  go car Makan cepet  go food Semuuaaaa gojekin ajaaa,5,2024-01-28 04:59:53,4.81.2,positive,rating_rule,108
Sumarlien Elien,Ini kenapa habis diupdate fitur melihat voucher gofood jadi gak ada,1,2024-01-27 22:35:16,4.81.2,negative,rating_rule,67
Hanum Azizah,Thank you semoga akun ku banyak promo gofood yang lebih besar lagi,5,2024-01-23 23:30:15,4.81.2,positive,rating_rule,66
zeni annisa,Overall membantu pergerakan saya lewat Goride atau GoCar Hanya saja driver pasti tidak mau ambil kalo pilih yang pake Gocar atau Goride hemat Padahal dengan tambahan voucher jadi meringankan sekali Bagi saya yang sering juga mengandalkan Gosend untuk bisnis Jadi percuma Sebaiknya one system aja gak usah pilih pilh kayak gitu Customer udah seneng tapi driver ndak ada yang mau ambil,4,2024-01-27 22:40:56,4.81.2,positive,rating_rule,383
Adriansyah,Gotix kok nga ada lagi min,3,2024-01-28 10:16:45,4.81.2,neutral,rating_rule,26
Anit Purwanti,Great,5,2024-01-27 22:47:34,4.81.2,positive,rating_rule,5
Sri Hastuti,Supirnya mau menjawab apa yg kira tanyakan  orgnya supel,5,2024-01-28 09:37:43,4.81.2,positive,rating_rule,56
sri mulia Rs datu sanggul,Jadi solusi banget saat ga ada waktu untuk keluar rumah,5,2024-01-28 05:01:45,4.81.2,positive,rating_rule,55
Edo Nara (Edo Jonathan),Not yo bad,3,2024-01-28 09:31:11,4.81.2,neutral,rating_rule,10
Rangga Almunawar,Di aplikasi ada pilihan gocar hemat tapi percuma udah dapet driver di cancle terus sampe 6 kali Ga efektif gocar hemat di apk,3,2024-01-28 03:54:16,4.81.2,neutral,rating_rule,125
achmad aribowo,Respon cepat,5,2024-01-28 09:25:13,4.81.2,positive,rating_rule,12
Alesha Saputra,Sangat membantu mudah untuk pesanya,5,2024-01-28 09:24:26,4.81.2,positive,rating_rule,35
Keke Music,Sangat bermanfaat sekali saat di butuhkan dalam keadaan urgent,5,2024-01-23 13:47:11,4.81.2,positive,rating_rule,62
Haycalpribadi Pribadi,Kenapa sih harus update lg ky mau ambil kota kita ya,4,2024-01-27 23:01:37,4.81.2,positive,rating_rule,52
salma aurelya,Top,5,2024-01-28 09:22:45,4.81.2,positive,rating_rule,3
Abdul Azis Ajaisrullah,Tambah parah ni aplikasi jaringan ada bagustpi gagal terusktnya tidak ada sinyalaneh,2,2024-01-27 23:08:14,4.81.2,negative,rating_rule,84
7G_21_Louis Danendra,pelayanan bagus bagus,5,2024-01-23 23:27:57,4.81.2,positive,rating_rule,21
saia sulistyo,Terima kasih gojek,4,2024-01-27 19:50:12,4.81.2,positive,rating_rule,18
Rara Andini,gila sihh beli air kelapa ijo 1 doang nunggu 30 menit mana tuh toko kelapa jarak dari rmh cuma 09km doangterus sy udh nunggu 30 menit dibatalin coba bikin orang naik darah aja mana sekarang makin ga jelas gojek kalo mau cepet sampe harus nambah ongkir ga kaya dulu satset2sumpah bukanya makin bagus malah makin buruk pelayanannya,1,2024-01-28 10:21:26,4.81.2,negative,rating_rule,329
Sandi Sastra,Errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak bisa pakai gopay latter buat beli pulsa padahal blm bisa di pakai buat beli token listrik,1,2024-01-27 23:42:54,4.81.2,negative,rating_rule,158
Rifani,Mentew bro,5,2024-01-28 11:43:43,4.81.2,positive,rating_rule,10
jing xuan,Kebon jeruk xvii20ckel Mapharkec taman sari Jkt barat,5,2024-01-28 11:28:49,4.81.2,positive,rating_rule,53
Adriano Tegar,Dapat driver melebihi waktu yang ditentukan terlalu lama,1,2024-01-27 16:07:58,4.81.2,negative,rating_rule,56
Andra Respati,buruk sekali bagi saya menggunakan ini aplikasi sumpah sampah bgt  pesanan ga nyampe drivernya jga ga ada  kepotong saldo pula  jangan download gojek mending grab apa maxim jelas ini parah uang hilang an71ngg gojek a55uuu,1,2024-01-27 16:09:20,4.81.2,negative,rating_rule,221
Sigit Rayno,Kecewa sama gojek sekarang apalagi gofoodny udah langganan gofood plus masih aja kena ongkir makin kesini makin gak jelas aja,2,2024-01-27 16:13:46,4.81.2,negative,rating_rule,125
Morgaan Tatto,Bagus aplikasinya,5,2024-01-23 16:51:22,4.81.2,positive,rating_rule,17
Denni Saputra,Gojek makin ke sini makin gila aja ni ngasih drever selalu yg jauh2 padahal drever yg dekat banyak Mikir lah drever beli bensin pake duit sendiri kasian kan klo jemputnya jauh Emang cara berpikir kalian itu seperti apa Ko selalu dikasih drever yg jauh2 beda dgn grab,1,2024-01-27 16:17:41,4.81.2,negative,rating_rule,266
Endi Junaedi,Oke,5,2024-01-28 04:08:04,4.81.2,positive,rating_rule,3
Chandra Nugraha,Dpt limit gopaylater tp ga bisa dipake ada notif gopay payletter diblokir,2,2024-01-28 11:12:44,4.81.2,negative,rating_rule,73
Habib Afif,Sikap driver sabar dalam akurasi pengiriman alamat pelanggan go food,5,2024-01-28 11:45:53,4.81.2,positive,rating_rule,68
Luthfi naufal Saputra,Gimana cara nya TF tapi lupa pin Sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa semoga di balas,1,2024-01-27 16:24:50,4.81.2,negative,rating_rule,106
Risma Bilqisss,Udah update sampe tak install berkali tetep gabisa dibuka,1,2024-01-28 11:01:22,4.81.2,negative,rating_rule,57
Lusi,Sangat membantu sekali kalo lagi hujan mager mendadak ada tamu dsb,5,2024-01-28 04:04:06,4.81.2,positive,rating_rule,66
Fadli Akbar,Alhamdulillahbisa diandalkan dlm kondisi apapunbaik gojek n gofoodnya,5,2024-01-28 10:23:48,4.81.2,positive,rating_rule,69
Dayat Wanda,BagusMbatu Terima aksih,5,2024-01-27 16:25:30,4.81.2,positive,rating_rule,23
Basirun,Sanjay membatu,1,2024-01-27 16:44:25,4.81.2,negative,rating_rule,14
Rifqi Fredy Kurniawan,jos,5,2024-01-27 16:57:19,4.81.2,positive,rating_rule,3
Dyah As76,Gojek Sigap Cepat Aman n Nyaman,5,2024-01-28 10:48:40,4.81.2,positive,rating_rule,31
FATWA YUDISTIRA HAIKAL WIBOWO,Shiiip,5,2024-01-27 18:11:12,4.81.2,positive,rating_rule,6
Cantika,kerenn,5,2024-01-28 03:56:39,4.81.2,positive,rating_rule,6
Muhammad Gilang,Saduuuuuuuuuuu,5,2024-01-27 18:35:54,4.81.2,positive,rating_rule,14
Yadi Aprilliansyah,Kenapa pas ufdate ga bisa di buka,1,2024-01-27 18:53:11,4.81.2,negative,rating_rule,33
Supriadi Asep,Mantap kasih tiap bulan donk promosi nya heheh,5,2024-01-28 10:48:06,4.81.2,positive,rating_rule,46
Dade Sutendi,Pake Gojek mau kemana pun jadi mudahsemoga lacar terussss,5,2024-01-28 10:33:57,4.81.2,positive,rating_rule,57
Sarifah Mutia,Knp haru yg baru lbh payah,3,2024-01-27 23:59:16,4.81.2,neutral,rating_rule,26
Riky M,Jelek banget sekarang aplikasinya Ga bisa ajukan GoPaylater lagi apalagi GoPinjam Dulu padahal sudah pernah dapat gopaylater Jadi 1 bintang saja Menghabiskan waktu aja ini kita suruh nunggu Udah nunggu pas coba ehh ditolak lagi Siapa lu,1,2024-01-23 17:38:13,4.81.2,negative,rating_rule,236
Jasa Penyeberangan,Saya puas memakai gopay setelah 2 minggi sy merasa kecewa karna topuap dr indomaret uang g tau ke mna mask nya kata nya ada di tabungan jago setelah sy cek g adasy email chat complin g ada tanggapan,1,2024-01-23 14:46:44,4.81.2,negative,rating_rule,198
Ruth Khafidah,Mudah dan cepat,5,2024-01-28 02:20:38,4.81.2,positive,rating_rule,15
Dian Noor Pratiwi,Sekarang udah mahal ongkirnya trus ada biaya penanganan tmbahan lain overall bagus sih Cuman skg bnyak apk serupa yg bisa dipertimbangkan biar lebih hemat utk pengguna yg sering seperti saya,3,2024-01-28 07:10:31,4.81.2,neutral,rating_rule,190
Eka Apriana Putri,Jangan terlalu sering minta update Setelah diupdate ternyata nggak ada perubahan Makan memori doang,1,2024-01-28 02:31:09,4.81.2,negative,rating_rule,99
AA Pradini Purnama Putri,Setiap pembelian melalui gofood selalu lama kendala makan sudah disiapka Tp driver sampai 1jam gak dpt2 Pesanan tdk bs dibatalkan karena alasan pesanan sdh masuk resto jd harus menunggu yg batalkan dari pihak anda Sangat2 mengecewakan Ajng bngt,1,2024-01-28 07:07:31,4.81.2,negative,rating_rule,244
Dedy Purnomo,watwetcak cek,5,2024-01-28 07:07:11,4.81.2,positive,rating_rule,13
Fitriyani Fitri,Bagus sekali,5,2024-01-28 07:01:48,4.81.2,positive,rating_rule,12
Sumarwan Marwan,Good App,5,2024-01-28 07:01:31,4.81.2,positive,rating_rule,8
Fatur Fatur,Lumayan sering ada promo untuk gofood,5,2024-01-28 07:01:01,4.81.2,positive,rating_rule,37
Asep Alaves,Bagus sangat membantu,5,2024-01-23 22:32:07,4.81.2,positive,rating_rule,21
Nur Halimah,Bv 0130 terbangun H7tgzjp,2,2024-01-28 02:49:41,4.81.2,negative,rating_rule,25
Joko Prehatno,2 dulu karena Sudak ke sekian puluh kalinya update ke gopay plus gagal padahal sebelumya udah plus mau diupgrade gopay plus terbaru malah kembali ke premium pusing padahal aku gunakan untuk layanan goparter akujadi kacau balau akun goparter aku,2,2024-01-28 06:53:50,4.81.2,negative,rating_rule,244
Kani,Saya ada pengajuan pijan di gopay pinjam semua data yang di minta sudah saya masukan tapi pengajuan di tolak sebenar nya ga masalah saya malah senang dgn di tolak nya pengajuan saya tapi tolong dgn sangat untuk pihak gopaypinjam tolong hapus semua data yg sudah saya kirim kan,2,2024-01-28 03:01:57,4.81.2,negative,rating_rule,276
mst ams,Biaya penanganan maksdnya apa aku mo pesan minuman di gofood kena biaya penanganan 29 rb Padahal Minumannya cuma 22 rb,1,2024-01-28 06:09:23,4.81.2,negative,rating_rule,118
Yayan Sofyan,Great Application,5,2024-01-28 03:06:55,4.81.2,positive,rating_rule,17
Herman Puguh,mantap pakai gojek dan gocar sering promoTerima kasih GojekGocar,5,2024-01-28 06:50:00,4.81.2,positive,rating_rule,64
Agiska Mila,Please gopaylater bisa bayar tagihan sebelum jatuh tempo kayak dulu dong Sebel bgt mau bayar tagihan nunggu japo dulu,3,2024-01-28 03:10:57,4.81.2,neutral,rating_rule,117
Supra Hdv,Lancar saja,5,2024-01-28 03:14:04,4.81.2,positive,rating_rule,11
Mitha Yulia,Jujur  klo urusan ojek online  gojek the Best dari kecepatan  keramahan  kerapihan pakaian  sama attitude yang paling penting oke banget deh gojek,5,2024-01-28 06:46:36,4.81.2,positive,rating_rule,146
HUURIN 'IIN,Kenapa setelah diupdate berulang kali tidak direspon saat dibuka,2,2024-01-28 03:16:49,4.81.2,negative,rating_rule,64
Mohammad Farid Hidayatulloh,Status pesanan gofood stuck udah coba pakai wifi  data sama aja padahal internet lancar buat youtube dll udah coba restart hp sama aja aplikasi udah terbaru chat cs yg jawab bot sangat tidak recommended ini udah lewat estimasi loh hampir 1 jam nunggu dari estimasi 28 menit,1,2024-01-23 18:49:27,4.81.2,negative,rating_rule,273
aziez Kamal,Mantap selalu berikan terbaik buat pelanggan,5,2024-01-28 03:23:49,4.81.2,positive,rating_rule,44
Rahmat Cina,Bagus,5,2024-01-23 14:54:04,4.81.2,positive,rating_rule,5
Irno Hadis,Aplikasi taiiii mw masuk aja susah bngat kya kontoooolll,1,2024-01-28 03:31:25,4.81.2,negative,rating_rule,56
arief budi mulyanto,Smoga kedepannya bisa lebih baik lagisukses,5,2024-01-28 03:37:27,4.81.2,positive,rating_rule,43
Yeni Arviyantie,Langganan n potongan or discountnya mayaan buat order2 kpepet,5,2024-01-23 15:03:12,4.81.2,positive,rating_rule,61
Lina O,Makin mahal aja Dibandingin beli langsung di restonya sama beli dr aplikasi bedanya banyak,3,2024-01-28 07:16:30,4.81.2,neutral,rating_rule,90
Julhan Wardana,Satsetsatset,5,2024-01-28 03:51:05,4.81.2,positive,rating_rule,12
Rini Fitriyani,Bgs apk nya cuma tolng di perbaiki lg mau masukin kode otp aja lma bgt,3,2024-01-23 23:19:18,4.81.2,neutral,rating_rule,70
Reyhan amal,Driver gocarnya gblk,1,2024-01-23 23:15:56,4.81.2,negative,rating_rule,20
Wheny Efendi,Suka banyak promo,5,2024-01-28 03:51:30,4.81.2,positive,rating_rule,17
diana chandra,Masa titik jemput gocar selalu ngaco padahal sdh sesuai titik sampai saya sudah share lokasi masa bisa jemput ny sampai jauh banget dari titik  tol diperbaiki bikin driver dan saya susah saja Maaf saya ksh bintang 1,1,2024-01-28 09:06:27,4.81.2,negative,rating_rule,215
fauzan ojan,Sejauh ini selama saya menggunakan aplikasi ini tidak ada masalah baik itu saat memesan tranportasi online maupun memesan makanan,5,2024-01-28 08:54:33,4.81.2,positive,rating_rule,129
Yuni Sulistiyani,mohon maaf iklanya dikurangi,1,2024-01-28 05:34:07,4.81.2,negative,rating_rule,28
Violet Volkswagen,Gopaylater kena blokir hahah,5,2024-01-23 15:47:39,4.81.2,positive,rating_rule,28
Ruslin,Setres Setelah update makin parah,1,2024-01-28 00:25:40,4.81.2,negative,rating_rule,33
M.Wahyudi Ramadhani,Sangat tidak suka,1,2024-01-28 08:41:21,4.81.2,negative,rating_rule,17
Toni Murtono,Gimana nih aplikasi kok parah Nyuruh di update setelah di turuti update sekarang g bisa terkoneksiparah,5,2024-01-28 08:41:00,4.81.2,positive,rating_rule,103
Abah Mul,Mantaap,5,2024-01-28 00:29:46,4.81.2,positive,rating_rule,7
Hening Roto Atmojo,Tarifnya jangan makin mahal donk,5,2024-01-28 02:08:17,4.81.2,positive,rating_rule,32
SLAMET RIYADI,kenapa setelah di update malah tidak bisa pakai fitur go pay,1,2024-01-28 01:21:53,4.81.2,negative,rating_rule,60
fahmi junior,Aplikasi yang terkadang sangat di butuhkan,5,2024-01-28 01:25:12,4.81.2,positive,rating_rule,42
nayla gacha,Terima kasih saya sangat terbantu sekali,5,2024-01-28 01:27:54,4.81.2,positive,rating_rule,40
Hendrik oktario,Makin lama sekarang gofoodnya kayanya udah g secepat dulu ditambah ada option tambahan mau express atau reguler macem2 ajah yg reguler hampir sejam keburu dingin yg paling utama keburu laper,1,2024-01-28 08:19:31,4.81.2,negative,rating_rule,190
Ilham Pangestu (Estu),aplikasinya keluar sendiri padahal udah di update udah di uninstal terus di instal ulang tapi tetep kek begitu jelek nih aplikasi,1,2024-01-28 08:18:33,4.81.2,negative,rating_rule,129
boim aye,Good job,5,2024-01-28 08:13:52,4.81.2,positive,rating_rule,8
imko bili,Gojek memang the best,5,2024-01-28 01:28:57,4.81.2,positive,rating_rule,21
Jilan Arra Jiyaad,Mantappp,5,2024-01-28 05:42:41,4.81.2,positive,rating_rule,8
SALVIAN FITRA SETIA,Ahayde,5,2024-01-28 07:59:01,4.81.2,positive,rating_rule,6
fullmoon,Saya transfer uang dari gopay ke bank tertera sudah terkirim tapi belum masuk ke rekening mohon untuk konfirmasi dan tindak lanjutnya,1,2024-01-28 07:36:50,4.81.2,negative,rating_rule,133
Syarief Maulana,BURUK,1,2024-01-28 01:37:55,4.81.2,negative,rating_rule,5
dian hayati,Kenapa si skrng gojek jeda wkt tunggu nya jadi lama bgt kaya APP sebelah pdhl dr toko nya info klo pesenan udh kelar di APP bilangnya masih dsiapkan tunggu 20menit lg Jadi ga ad beda nya sama APP sebelah  pdhl harga nya lebih mahal,3,2024-01-23 23:06:27,4.81.2,neutral,rating_rule,231
Kang Colay,Lagi lagi terjadi gopay gua ilang lagi baru juga gua top up dan gua tinggal seharian blm gua beli in apa apa tadi gua top up saldo gopay 350k sekarang pas gua mah beli barang di online shop pas liat saldo tinggal 229k ga tau dah tuh ilang berapa males ngitung gua udh dua kali kehilangan uang yang pertama udh gua ikhlas kan dan yang ini udh ke 2 kali nya dah lah gua jadi males nyimpen duit banyak di gopay mending di dana sekian gua kecewa sama apk ini,1,2024-01-23 15:25:02,4.81.2,negative,rating_rule,454
Nana Sukana,Terima kasih sudah antar dan jemput,5,2024-01-28 07:27:22,4.81.2,positive,rating_rule,35
KURIYAH,Mohon di tingkatkan LG sistemnya,5,2024-01-28 04:20:28,4.81.2,positive,rating_rule,32
Rini Rini,Aplikasi yg TDK mau menerima keluhan customernya mau laporan dipersulit Aplikasi sampah,1,2024-01-28 14:44:11,4.81.2,negative,rating_rule,87
khify,Edit Jaringan bagus aplikasi sudah versi terbaru namun masih error untuk pemesanan gojek bisa namun untuk gofood tidak bisa tertulis error gps saya sudab aktif Sama kadang kalp agak jauhan muncul location not serviceable nah ini tolong di perluas lg jangkauan ny Gojek bisa knp gofood nggak,1,2024-01-28 11:53:42,4.81.2,negative,rating_rule,290
Casper,Bermanfaat sekali,5,2024-01-29 07:35:54,4.81.2,positive,rating_rule,17
Rudi Hartono,Ok sudah dibenahi,3,2024-01-29 05:05:53,4.81.2,neutral,rating_rule,17
Daru Prayoga,Apaan dah pesen gofood biaya layanan sampe 30rb pdhl ongkir dibawah 15k an,1,2024-01-29 05:26:39,4.81.2,negative,rating_rule,74
Arief Rahmansyah,Aplikasi terbaik,5,2024-01-29 05:31:42,4.81.2,positive,rating_rule,16
Achmad Ghozali,Bagus  top,5,2024-01-29 05:32:38,4.81.2,positive,rating_rule,10
Sri Fitriani,Membantu banget pokonya,5,2024-01-29 05:36:58,4.81.2,positive,rating_rule,23
Shinobi Uzumaki,Sementara aman terkendali,5,2024-01-29 05:49:56,4.81.2,positive,rating_rule,25
Dedi Suryadi,Oke langsung saja gass,5,2024-01-29 05:52:35,4.81.2,positive,rating_rule,22
Andrewasmara Joezan,joseee,5,2024-01-29 05:55:13,4.81.2,positive,rating_rule,6
Yeni Nur,Maps digojek eror gajelas kasihan bapak Drivernya,1,2024-01-23 07:16:28,4.81.2,negative,rating_rule,49
Fitri Yani,Selalu puas sm gojek Semoga makin bagus lg kedepannya,5,2024-01-29 05:58:55,4.81.2,positive,rating_rule,53
Ryukey,Untuk aplikasi gojek diperingan dong untuk android lollipop Os versi 5,1,2024-01-29 05:59:04,4.81.2,negative,rating_rule,70
netizen julid,Tidak bisa di batalin klo order gofood Sat Knapa skrang lama bgt si gofood nya Psen makan aja satu setengah jam Tolong lah gojek perbaiki lagi jgan lama bgt ky gini kburu lapernya ilang tlol,2,2024-01-29 05:59:45,4.81.2,negative,rating_rule,190
Thomas Matthew Kusumantoro,Mayan berguna,4,2024-01-29 06:06:24,4.81.2,positive,rating_rule,13
Lie San,stelah d perbarui aplikasinya kenapa jd bobrok bukan tambah d perbaiki kok malah gak bs buka trs resard ulang trus,1,2024-01-29 06:08:58,4.81.2,negative,rating_rule,114
trie setyo,Aplikasi yang sangat bagus mau apa aja lengkap mulai dari makanan tranportasi sampai pindahan kost juga ada tersedia mobil nya pokoknya gojek luar biasa,5,2024-01-23 07:11:49,4.81.2,positive,rating_rule,152
Agung Bosar,Ngbantu sekali,5,2024-01-29 06:18:14,4.81.2,positive,rating_rule,14
Dedy Haryanto,APLIKASI GK KEPAKE,1,2024-01-29 06:21:14,4.81.2,negative,rating_rule,18
Tam Jay,Knpa saya bayar gopinjam tapi tidak kepotong tagihan nya padahal di BCA nya berhasil,2,2024-01-23 07:11:35,4.81.2,negative,rating_rule,84
Rizky Sadhil,Sangat terbantu,4,2024-01-29 06:43:21,4.81.2,positive,rating_rule,15
haerul 90,susah banget dapet driver kalo gosend pake samday tolong hapus aja opsi pengiriman samday nya driver pada males ngambil orderan,1,2024-01-29 06:49:51,4.81.2,negative,rating_rule,127
Yogi Cahya,Recommended aplikasi,5,2024-01-23 07:03:06,4.81.2,positive,rating_rule,20
Mami Salon,Sangat baik,5,2024-01-29 07:07:01,4.81.2,positive,rating_rule,11
Bobby Ardiansyah,mntaap lanjutkan promonya,5,2024-01-29 04:53:39,4.81.2,positive,rating_rule,25
Vivi Ardiana,Tolong yah buat gofood sediain uang receh Biar ada kembalinya Dan cepetin dapet driver nya soalnya gua nunggu 45 menit apa ga mau mati orang nunggu nya,3,2024-01-29 04:52:58,4.81.2,neutral,rating_rule,151
rizal bahrain,bagus dan profesional,5,2024-01-29 03:25:37,4.81.2,positive,rating_rule,21
sms fv,Bisa tidak iklan ny gojek ini di lakukan saja si aplikasi GOJEK setiap buka WA iklan nya selalu lewat mebuat saya tidak nyaman  di aplikasi lain juga setiap di buka selalu masuk iklan GOFOOD,1,2024-01-29 02:25:46,4.81.2,negative,rating_rule,190
Nadiya Maulida husna,Kenapa habis diupred kk malah gk bisa dibuka,1,2024-01-29 02:39:15,4.81.2,negative,rating_rule,44
bernard ginting,Sangat mudah dalam penggunaan,5,2024-01-29 02:46:41,4.81.2,positive,rating_rule,29
Ricko Setiawan,bagus,5,2024-01-29 02:47:41,4.81.2,positive,rating_rule,5
Muamar Vino,gak adil banget jek gw sering order gk pernah dikasih vocer kalaupun dikasih vocer itu pun gk masuk akal harus belanja diatas 100k baru dpt potongan 30k  herannya kawan yg jarang order malah sering dikasih vocer potongan 50 bahkan 70 gk recomend banget jekSUMPAH,1,2024-01-29 02:54:39,4.81.2,negative,rating_rule,262
Muhammad Idris,Welcome back  berharap GoJek konsisten dan bisalebih diperhatikan pelanggang lama,5,2024-01-29 02:56:39,4.81.2,positive,rating_rule,81
Mufida Jannur Daulay,Goride nggak ada promo ya Apasih kode prominyab,2,2024-01-29 02:58:34,4.81.2,negative,rating_rule,47
suwardi subroto,Sip dan bagus,5,2024-01-29 03:04:06,4.81.2,positive,rating_rule,13
